r,t,f,y,ProductionByTechnologyAnnual
"Atlantis_00A","BM_IMP","DS_Distribution",2021,0
"Atlantis_00A","BM_IMP","DS_Distribution",2022,0
"Atlantis_00A","BM_IMP","DS_Distribution",2023,0
"Atlantis_00A","BM_IMP","DS_Distribution",2024,0
"Atlantis_00A","BM_IMP","DS_Distribution",2025,0
"Atlantis_00A","BM_IMP","DS_Distribution",2026,0
"Atlantis_00A","BM_IMP","DS_Distribution",2027,0
"Atlantis_00A","BM_IMP","DS_Distribution",2028,0
"Atlantis_00A","BM_IMP","DS_Distribution",2029,0
"Atlantis_00A","BM_IMP","DS_Distribution",2030,0
"Atlantis_00A","BM_IMP","DS_Distribution",2031,0
"Atlantis_00A","BM_IMP","DS_Distribution",2032,0
"Atlantis_00A","BM_IMP","DS_Distribution",2033,0
"Atlantis_00A","BM_IMP","DS_Distribution",2034,0
"Atlantis_00A","BM_IMP","DS_Distribution",2035,0
"Atlantis_00A","BM_IMP","DS_Distribution",2036,0
"Atlantis_00A","BM_IMP","DS_Distribution",2037,0
"Atlantis_00A","BM_IMP","DS_Distribution",2038,0
"Atlantis_00A","BM_IMP","DS_Distribution",2039,0
"Atlantis_00A","BM_IMP","DS_Distribution",2040,0
"Atlantis_00A","BM_IMP","DS_Distribution",2041,0
"Atlantis_00A","BM_IMP","DS_Distribution",2042,0
"Atlantis_00A","BM_IMP","DS_Distribution",2043,0
"Atlantis_00A","BM_IMP","DS_Distribution",2044,0
"Atlantis_00A","BM_IMP","DS_Distribution",2045,0
"Atlantis_00A","BM_IMP","DS_Distribution",2046,0
"Atlantis_00A","BM_IMP","DS_Distribution",2047,0
"Atlantis_00A","BM_IMP","DS_Distribution",2048,0
"Atlantis_00A","BM_IMP","DS_Distribution",2049,0
"Atlantis_00A","BM_IMP","DS_Distribution",2050,0
"Atlantis_00A","BM_IMP","DS_Distribution",2051,0
"Atlantis_00A","BM_IMP","DS_Distribution",2052,0
"Atlantis_00A","BM_IMP","DS_Distribution",2053,0
"Atlantis_00A","BM_IMP","DS_Distribution",2054,0
"Atlantis_00A","BM_IMP","DS_Distribution",2055,0
"Atlantis_00A","BM_IMP","DS_Industry",2014,0
"Atlantis_00A","BM_IMP","DS_Industry",2015,0
"Atlantis_00A","BM_IMP","DS_Industry",2016,0
"Atlantis_00A","BM_IMP","DS_Industry",2017,0
"Atlantis_00A","BM_IMP","DS_Industry",2018,0
"Atlantis_00A","BM_IMP","DS_Industry",2019,0
"Atlantis_00A","BM_IMP","DS_Industry",2020,0
"Atlantis_00A","BM_IMP","DS_Industry",2021,0
"Atlantis_00A","BM_IMP","DS_Industry",2022,0
"Atlantis_00A","BM_IMP","DS_Industry",2023,0
"Atlantis_00A","BM_IMP","DS_Industry",2024,0
"Atlantis_00A","BM_IMP","DS_Industry",2025,0
"Atlantis_00A","BM_IMP","DS_Industry",2026,0
"Atlantis_00A","BM_IMP","DS_Industry",2027,0
"Atlantis_00A","BM_IMP","DS_Industry",2028,0
"Atlantis_00A","BM_IMP","DS_Industry",2029,0
"Atlantis_00A","BM_IMP","DS_Industry",2030,0
"Atlantis_00A","BM_IMP","DS_Industry",2031,0
"Atlantis_00A","BM_IMP","DS_Industry",2032,0
"Atlantis_00A","BM_IMP","DS_Industry",2033,0
"Atlantis_00A","BM_IMP","DS_Industry",2034,0
"Atlantis_00A","BM_IMP","DS_Industry",2035,0
"Atlantis_00A","BM_IMP","DS_Industry",2036,0
"Atlantis_00A","BM_IMP","DS_Industry",2037,0
"Atlantis_00A","BM_IMP","DS_Industry",2038,0
"Atlantis_00A","BM_IMP","DS_Industry",2039,0
"Atlantis_00A","BM_IMP","DS_Industry",2040,0
"Atlantis_00A","BM_IMP","DS_Industry",2041,0
"Atlantis_00A","BM_IMP","DS_Industry",2042,0
"Atlantis_00A","BM_IMP","DS_Industry",2043,0
"Atlantis_00A","BM_IMP","DS_Industry",2044,0
"Atlantis_00A","BM_IMP","DS_Industry",2045,0
"Atlantis_00A","BM_IMP","DS_Industry",2046,0
"Atlantis_00A","BM_IMP","DS_Industry",2047,0
"Atlantis_00A","BM_IMP","DS_Industry",2048,0
"Atlantis_00A","BM_IMP","DS_Industry",2049,0
"Atlantis_00A","BM_IMP","DS_Industry",2050,0
"Atlantis_00A","BM_IMP","DS_Industry",2051,0
"Atlantis_00A","BM_IMP","DS_Industry",2052,0
"Atlantis_00A","BM_IMP","DS_Industry",2053,0
"Atlantis_00A","BM_IMP","DS_Industry",2054,0
"Atlantis_00A","BM_IMP","DS_Industry",2055,0
"Atlantis_00A","BM_IMP","DS_Others",2014,0
"Atlantis_00A","BM_IMP","DS_Others",2015,0
"Atlantis_00A","BM_IMP","DS_Others",2016,0
"Atlantis_00A","BM_IMP","DS_Others",2017,0
"Atlantis_00A","BM_IMP","DS_Others",2018,0
"Atlantis_00A","BM_IMP","DS_Others",2019,0
"Atlantis_00A","BM_IMP","DS_Others",2020,0
"Atlantis_00A","BM_IMP","DS_Others",2021,0
"Atlantis_00A","BM_IMP","DS_Others",2022,0
"Atlantis_00A","BM_IMP","DS_Others",2023,0
"Atlantis_00A","BM_IMP","DS_Others",2024,0
"Atlantis_00A","BM_IMP","DS_Others",2025,0
"Atlantis_00A","BM_IMP","DS_Others",2026,0
"Atlantis_00A","BM_IMP","DS_Others",2027,0
"Atlantis_00A","BM_IMP","DS_Others",2028,0
"Atlantis_00A","BM_IMP","DS_Others",2029,0
"Atlantis_00A","BM_IMP","DS_Others",2030,0
"Atlantis_00A","BM_IMP","DS_Others",2031,0
"Atlantis_00A","BM_IMP","DS_Others",2032,0
"Atlantis_00A","BM_IMP","DS_Others",2033,0
"Atlantis_00A","BM_IMP","DS_Others",2034,0
"Atlantis_00A","BM_IMP","DS_Others",2035,0
"Atlantis_00A","BM_IMP","DS_Others",2036,0
"Atlantis_00A","BM_IMP","DS_Others",2037,0
"Atlantis_00A","BM_IMP","DS_Others",2038,0
"Atlantis_00A","BM_IMP","DS_Others",2039,0
"Atlantis_00A","BM_IMP","DS_Others",2040,0
"Atlantis_00A","BM_IMP","DS_Others",2041,0
"Atlantis_00A","BM_IMP","DS_Others",2042,0
"Atlantis_00A","BM_IMP","DS_Others",2043,0
"Atlantis_00A","BM_IMP","DS_Others",2044,0
"Atlantis_00A","BM_IMP","DS_Others",2045,0
"Atlantis_00A","BM_IMP","DS_Others",2046,0
"Atlantis_00A","BM_IMP","DS_Others",2047,0
"Atlantis_00A","BM_IMP","DS_Others",2048,0
"Atlantis_00A","BM_IMP","DS_Others",2049,0
"Atlantis_00A","BM_IMP","DS_Others",2050,0
"Atlantis_00A","BM_IMP","DS_Others",2051,0
"Atlantis_00A","BM_IMP","DS_Others",2052,0
"Atlantis_00A","BM_IMP","DS_Others",2053,0
"Atlantis_00A","BM_IMP","DS_Others",2054,0
"Atlantis_00A","BM_IMP","DS_Others",2055,0
"Atlantis_00A","BM_IMP","DS_Transport",2014,0
"Atlantis_00A","BM_IMP","DS_Transport",2015,0
"Atlantis_00A","BM_IMP","DS_Transport",2016,0
"Atlantis_00A","BM_IMP","DS_Transport",2017,0
"Atlantis_00A","BM_IMP","DS_Transport",2018,0
"Atlantis_00A","BM_IMP","DS_Transport",2019,0
"Atlantis_00A","BM_IMP","DS_Transport",2020,0
"Atlantis_00A","BM_IMP","DS_Transport",2021,0
"Atlantis_00A","BM_IMP","DS_Transport",2022,0
"Atlantis_00A","BM_IMP","DS_Transport",2023,0
"Atlantis_00A","BM_IMP","DS_Transport",2024,0
"Atlantis_00A","BM_IMP","DS_Transport",2025,0
"Atlantis_00A","BM_IMP","DS_Transport",2026,0
"Atlantis_00A","BM_IMP","DS_Transport",2027,0
"Atlantis_00A","BM_IMP","DS_Transport",2028,0
"Atlantis_00A","BM_IMP","DS_Transport",2029,0
"Atlantis_00A","BM_IMP","DS_Transport",2030,0
"Atlantis_00A","BM_IMP","DS_Transport",2031,0
"Atlantis_00A","BM_IMP","DS_Transport",2032,0
"Atlantis_00A","BM_IMP","DS_Transport",2033,0
"Atlantis_00A","BM_IMP","DS_Transport",2034,0
"Atlantis_00A","BM_IMP","DS_Transport",2035,0
"Atlantis_00A","BM_IMP","DS_Transport",2036,0
"Atlantis_00A","BM_IMP","DS_Transport",2037,0
"Atlantis_00A","BM_IMP","DS_Transport",2038,0
"Atlantis_00A","BM_IMP","DS_Transport",2039,0
"Atlantis_00A","BM_IMP","DS_Transport",2040,0
"Atlantis_00A","BM_IMP","DS_Transport",2041,0
"Atlantis_00A","BM_IMP","DS_Transport",2042,0
"Atlantis_00A","BM_IMP","DS_Transport",2043,0
"Atlantis_00A","BM_IMP","DS_Transport",2044,0
"Atlantis_00A","BM_IMP","DS_Transport",2045,0
"Atlantis_00A","BM_IMP","DS_Transport",2046,0
"Atlantis_00A","BM_IMP","DS_Transport",2047,0
"Atlantis_00A","BM_IMP","DS_Transport",2048,0
"Atlantis_00A","BM_IMP","DS_Transport",2049,0
"Atlantis_00A","BM_IMP","DS_Transport",2050,0
"Atlantis_00A","BM_IMP","DS_Transport",2051,0
"Atlantis_00A","BM_IMP","DS_Transport",2052,0
"Atlantis_00A","BM_IMP","DS_Transport",2053,0
"Atlantis_00A","BM_IMP","DS_Transport",2054,0
"Atlantis_00A","BM_IMP","DS_Transport",2055,0
"Atlantis_00A","BM_IMP","EL_Distribution",2014,0
"Atlantis_00A","BM_IMP","EL_Distribution",2015,0
"Atlantis_00A","BM_IMP","EL_Distribution",2016,0
"Atlantis_00A","BM_IMP","EL_Distribution",2017,0
"Atlantis_00A","BM_IMP","EL_Distribution",2018,0
"Atlantis_00A","BM_IMP","EL_Distribution",2019,0
"Atlantis_00A","BM_IMP","EL_Distribution",2020,0
"Atlantis_00A","BM_IMP","EL_Distribution",2021,0
"Atlantis_00A","BM_IMP","EL_Distribution",2022,0
"Atlantis_00A","BM_IMP","EL_Distribution",2023,0
"Atlantis_00A","BM_IMP","EL_Distribution",2024,0
"Atlantis_00A","BM_IMP","EL_Distribution",2025,0
"Atlantis_00A","BM_IMP","EL_Distribution",2026,0
"Atlantis_00A","BM_IMP","EL_Distribution",2027,0
"Atlantis_00A","BM_IMP","EL_Distribution",2028,0
"Atlantis_00A","BM_IMP","EL_Distribution",2029,0
"Atlantis_00A","BM_IMP","EL_Distribution",2030,0
"Atlantis_00A","BM_IMP","EL_Distribution",2031,0
"Atlantis_00A","BM_IMP","EL_Distribution",2032,0
"Atlantis_00A","BM_IMP","EL_Distribution",2033,0
"Atlantis_00A","BM_IMP","EL_Distribution",2034,0
"Atlantis_00A","BM_IMP","EL_Distribution",2035,0
"Atlantis_00A","BM_IMP","EL_Distribution",2036,0
"Atlantis_00A","BM_IMP","EL_Distribution",2037,0
"Atlantis_00A","BM_IMP","EL_Distribution",2038,0
"Atlantis_00A","BM_IMP","EL_Distribution",2039,0
"Atlantis_00A","BM_IMP","EL_Distribution",2040,0
"Atlantis_00A","BM_IMP","EL_Distribution",2041,0
"Atlantis_00A","BM_IMP","EL_Distribution",2042,0
"Atlantis_00A","BM_IMP","EL_Distribution",2043,0
"Atlantis_00A","BM_IMP","EL_Distribution",2044,0
"Atlantis_00A","BM_IMP","EL_Distribution",2045,0
"Atlantis_00A","BM_IMP","EL_Distribution",2046,0
"Atlantis_00A","BM_IMP","EL_Distribution",2047,0
"Atlantis_00A","BM_IMP","EL_Distribution",2048,0
"Atlantis_00A","BM_IMP","EL_Distribution",2049,0
"Atlantis_00A","BM_IMP","EL_Distribution",2050,0
"Atlantis_00A","BM_IMP","EL_Distribution",2051,0
"Atlantis_00A","BM_IMP","EL_Distribution",2052,0
"Atlantis_00A","BM_IMP","EL_Distribution",2053,0
"Atlantis_00A","BM_IMP","EL_Distribution",2054,0
"Atlantis_00A","BM_IMP","EL_Distribution",2055,0
"Atlantis_00A","BM_IMP","EL_Industry",2014,0
"Atlantis_00A","BM_IMP","EL_Industry",2015,0
"Atlantis_00A","BM_IMP","EL_Industry",2016,0
"Atlantis_00A","BM_IMP","EL_Industry",2017,0
"Atlantis_00A","BM_IMP","EL_Industry",2018,0
"Atlantis_00A","BM_IMP","EL_Industry",2019,0
"Atlantis_00A","BM_IMP","EL_Industry",2020,0
"Atlantis_00A","BM_IMP","EL_Industry",2021,0
"Atlantis_00A","BM_IMP","EL_Industry",2022,0
"Atlantis_00A","BM_IMP","EL_Industry",2023,0
"Atlantis_00A","BM_IMP","EL_Industry",2024,0
"Atlantis_00A","BM_IMP","EL_Industry",2025,0
"Atlantis_00A","BM_IMP","EL_Industry",2026,0
"Atlantis_00A","BM_IMP","EL_Industry",2027,0
"Atlantis_00A","BM_IMP","EL_Industry",2028,0
"Atlantis_00A","BM_IMP","EL_Industry",2029,0
"Atlantis_00A","BM_IMP","EL_Industry",2030,0
"Atlantis_00A","BM_IMP","EL_Industry",2031,0
"Atlantis_00A","BM_IMP","EL_Industry",2032,0
"Atlantis_00A","BM_IMP","EL_Industry",2033,0
"Atlantis_00A","BM_IMP","EL_Industry",2034,0
"Atlantis_00A","BM_IMP","EL_Industry",2035,0
"Atlantis_00A","BM_IMP","EL_Industry",2036,0
"Atlantis_00A","BM_IMP","EL_Industry",2037,0
"Atlantis_00A","BM_IMP","EL_Industry",2038,0
"Atlantis_00A","BM_IMP","EL_Industry",2039,0
"Atlantis_00A","BM_IMP","EL_Industry",2040,0
"Atlantis_00A","BM_IMP","EL_Industry",2041,0
"Atlantis_00A","BM_IMP","EL_Industry",2042,0
"Atlantis_00A","BM_IMP","EL_Industry",2043,0
"Atlantis_00A","BM_IMP","EL_Industry",2044,0
"Atlantis_00A","BM_IMP","EL_Industry",2045,0
"Atlantis_00A","BM_IMP","EL_Industry",2046,0
"Atlantis_00A","BM_IMP","EL_Industry",2047,0
"Atlantis_00A","BM_IMP","EL_Industry",2048,0
"Atlantis_00A","BM_IMP","EL_Industry",2049,0
"Atlantis_00A","BM_IMP","EL_Industry",2050,0
"Atlantis_00A","BM_IMP","EL_Industry",2051,0
"Atlantis_00A","BM_IMP","EL_Industry",2052,0
"Atlantis_00A","BM_IMP","EL_Industry",2053,0
"Atlantis_00A","BM_IMP","EL_Industry",2054,0
"Atlantis_00A","BM_IMP","EL_Industry",2055,0
"Atlantis_00A","BM_IMP","EL_Others",2014,0
"Atlantis_00A","BM_IMP","EL_Others",2015,0
"Atlantis_00A","BM_IMP","EL_Others",2016,0
"Atlantis_00A","BM_IMP","EL_Others",2017,0
"Atlantis_00A","BM_IMP","EL_Others",2018,0
"Atlantis_00A","BM_IMP","EL_Others",2019,0
"Atlantis_00A","BM_IMP","EL_Others",2020,0
"Atlantis_00A","BM_IMP","EL_Others",2021,0
"Atlantis_00A","BM_IMP","EL_Others",2022,0
"Atlantis_00A","BM_IMP","EL_Others",2023,0
"Atlantis_00A","BM_IMP","EL_Others",2024,0
"Atlantis_00A","BM_IMP","EL_Others",2025,0
"Atlantis_00A","BM_IMP","EL_Others",2026,0
"Atlantis_00A","BM_IMP","EL_Others",2027,0
"Atlantis_00A","BM_IMP","EL_Others",2028,0
"Atlantis_00A","BM_IMP","EL_Others",2029,0
"Atlantis_00A","BM_IMP","EL_Others",2030,0
"Atlantis_00A","BM_IMP","EL_Others",2031,0
"Atlantis_00A","BM_IMP","EL_Others",2032,0
"Atlantis_00A","BM_IMP","EL_Others",2033,0
"Atlantis_00A","BM_IMP","EL_Others",2034,0
"Atlantis_00A","BM_IMP","EL_Others",2035,0
"Atlantis_00A","BM_IMP","EL_Others",2036,0
