r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","BM_IND",2047,0.002719
"Atlantis_00A","BM_IND",2048,0.00274
"Atlantis_00A","BM_IND",2049,0.002761
"Atlantis_00A","BM_IND",2050,0.002775
"Atlantis_00A","BM_IND",2051,0.002795
"Atlantis_00A","BM_IND",2052,0.002816
"Atlantis_00A","BM_IND",2053,0.002838
"Atlantis_00A","BM_IND",2054,0.002859
"Atlantis_00A","BM_IND",2055,0.002881
"Atlantis_00A","BM_RES",2014,0.000583
"Atlantis_00A","BM_RES",2015,0.000475
"Atlantis_00A","BM_RES",2016,0.000477
"Atlantis_00A","BM_RES",2017,0.000448
"Atlantis_00A","BM_RES",2018,0.000453
"Atlantis_00A","BM_RES",2019,0.000319
"Atlantis_00A","BM_RES",2020,0.000392
"Atlantis_00A","BM_RES",2021,0.000282
"Atlantis_00A","BM_RES",2022,0.000275
"Atlantis_00A","BM_RES",2023,0.00028
"Atlantis_00A","BM_RES",2024,0.000286
"Atlantis_00A","BM_RES",2025,0.000292
"Atlantis_00A","BM_RES",2026,0.000297
"Atlantis_00A","BM_RES",2027,0.000303
"Atlantis_00A","BM_RES",2028,0.00031
"Atlantis_00A","BM_RES",2029,0.000316
"Atlantis_00A","BM_RES",2030,0.000319
"Atlantis_00A","BM_RES",2031,0.000319
"Atlantis_00A","BM_RES",2032,0.00032
"Atlantis_00A","BM_RES",2033,0.00032
"Atlantis_00A","BM_RES",2034,0.00032
"Atlantis_00A","BM_RES",2035,0.000321
"Atlantis_00A","BM_RES",2036,0.000322
"Atlantis_00A","BM_RES",2037,0.000323
"Atlantis_00A","BM_RES",2038,0.000324
"Atlantis_00A","BM_RES",2039,0.000325
"Atlantis_00A","BM_RES",2040,0.000327
"Atlantis_00A","BM_RES",2041,0.000325
"Atlantis_00A","BM_RES",2042,0.000323
"Atlantis_00A","BM_RES",2043,0.000321
"Atlantis_00A","BM_RES",2044,0.000319
"Atlantis_00A","BM_RES",2045,0.000317
"Atlantis_00A","BM_RES",2046,0.000315
"Atlantis_00A","BM_RES",2047,0.000313
"Atlantis_00A","BM_RES",2048,0.000312
"Atlantis_00A","BM_RES",2049,0.00031
"Atlantis_00A","BM_RES",2050,0.000307
"Atlantis_00A","BM_RES",2051,0.000306
"Atlantis_00A","BM_RES",2052,0.000304
"Atlantis_00A","BM_RES",2053,0.000302
"Atlantis_00A","BM_RES",2054,0.0003
"Atlantis_00A","BM_RES",2055,0.000298
"Atlantis_00A","BM_SC",2014,0.0002057724
"Atlantis_00A","BM_SC",2015,0.0002057724
"Atlantis_00A","BM_SC",2016,0.0002057724
"Atlantis_00A","BM_SC",2017,0.0002057724
"Atlantis_00A","BM_SC",2018,0.0002057724
"Atlantis_00A","BM_SC",2019,0.0002057724
"Atlantis_00A","BM_SC",2020,0.0002057724
"Atlantis_00A","BM_SC",2021,0.0002057724
"Atlantis_00A","BM_SC",2022,0.0002057724
"Atlantis_00A","BM_SC",2023,0.0001751809032
"Atlantis_00A","BM_SC",2024,0.0001751809032
"Atlantis_00A","BM_SC",2025,0.0001751809032
"Atlantis_00A","BM_SC",2026,0.0001751809032
"Atlantis_00A","BM_SC",2027,0.0001751809032
"Atlantis_00A","BM_SC",2028,0.0001463727672
"Atlantis_00A","BM_SC",2029,0.0001463727672
"Atlantis_00A","BM_SC",2030,0.0001463727672
"Atlantis_00A","BM_SC",2031,0.0001463727672
"Atlantis_00A","BM_SC",2032,0.0001463727672
"Atlantis_00A","BM_SC",2033,0.0001463727672
"Atlantis_00A","BM_SC",2034,0.0001463727672
"Atlantis_00A","BM_SC",2035,0.0001463727672
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0.003148
"Atlantis_00A","CONS_BM",2015,0.00295
"Atlantis_00A","CONS_BM",2016,0.003141
"Atlantis_00A","CONS_BM",2017,0.00334
"Atlantis_00A","CONS_BM",2018,0.003313
"Atlantis_00A","CONS_BM",2019,0.00277
"Atlantis_00A","CONS_BM",2020,0.003114
"Atlantis_00A","CONS_BM",2021,0.002344
"Atlantis_00A","CONS_BM",2022,0.002441
"Atlantis_00A","CONS_BM",2023,0.002469
"Atlantis_00A","CONS_BM",2024,0.002499
"Atlantis_00A","CONS_BM",2025,0.002528
"Atlantis_00A","CONS_BM",2026,0.002557
"Atlantis_00A","CONS_BM",2027,0.002587
"Atlantis_00A","CONS_BM",2028,0.002618
"Atlantis_00A","CONS_BM",2029,0.002649
"Atlantis_00A","CONS_BM",2030,0.00267
"Atlantis_00A","CONS_BM",2031,0.00267
"Atlantis_00A","CONS_BM",2032,0.002671
"Atlantis_00A","CONS_BM",2033,0.002671
"Atlantis_00A","CONS_BM",2034,0.002671
"Atlantis_00A","CONS_BM",2035,0.002672
"Atlantis_00A","CONS_BM",2036,0.002719
"Atlantis_00A","CONS_BM",2037,0.002766
"Atlantis_00A","CONS_BM",2038,0.002815
"Atlantis_00A","CONS_BM",2039,0.002865
"Atlantis_00A","CONS_BM",2040,0.002908
"Atlantis_00A","CONS_BM",2041,0.002925
"Atlantis_00A","CONS_BM",2042,0.002943
"Atlantis_00A","CONS_BM",2043,0.00296
"Atlantis_00A","CONS_BM",2044,0.002978
"Atlantis_00A","CONS_BM",2045,0.002996
"Atlantis_00A","CONS_BM",2046,0.003014
"Atlantis_00A","CONS_BM",2047,0.003032
"Atlantis_00A","CONS_BM",2048,0.003052
"Atlantis_00A","CONS_BM",2049,0.003071
"Atlantis_00A","CONS_BM",2050,0.003082
"Atlantis_00A","CONS_BM",2051,0.003101
"Atlantis_00A","CONS_BM",2052,0.00312
"Atlantis_00A","CONS_BM",2053,0.00314
"Atlantis_00A","CONS_BM",2054,0.003159
"Atlantis_00A","CONS_BM",2055,0.003179
"Atlantis_00A","CONS_DS",2014,958.4
"Atlantis_00A","CONS_DS",2015,971.679999999999
"Atlantis_00A","CONS_DS",2016,993.92
"Atlantis_00A","CONS_DS",2017,1083.52
"Atlantis_00A","CONS_DS",2018,1112.8
"Atlantis_00A","CONS_DS",2019,1112.64
"Atlantis_00A","CONS_DS",2020,969.28
"Atlantis_00A","CONS_DS",2021,1149.12
"Atlantis_00A","CONS_DS",2022,1197.76
"Atlantis_00A","CONS_DS",2023,1247.04
"Atlantis_00A","CONS_DS",2024,1301.28
"Atlantis_00A","CONS_DS",2025,1362.24
"Atlantis_00A","CONS_DS",2026,1428.16
"Atlantis_00A","CONS_DS",2027,1481.76
"Atlantis_00A","CONS_DS",2028,1490.08
"Atlantis_00A","CONS_DS",2029,1531.84
"Atlantis_00A","CONS_DS",2030,1570.24
"Atlantis_00A","CONS_DS",2031,1604.8
"Atlantis_00A","CONS_DS",2032,1641.28
"Atlantis_00A","CONS_DS",2033,1679.36
"Atlantis_00A","CONS_DS",2034,1721.44
"Atlantis_00A","CONS_DS",2035,1768
"Atlantis_00A","CONS_DS",2036,1813.28
"Atlantis_00A","CONS_DS",2037,1858.72
"Atlantis_00A","CONS_DS",2038,1908.96
"Atlantis_00A","CONS_DS",2039,1960.16
"Atlantis_00A","CONS_DS",2040,2009.76
"Atlantis_00A","CONS_DS",2041,2040.64
"Atlantis_00A","CONS_DS",2042,2080.64
"Atlantis_00A","CONS_DS",2043,2120.16
"Atlantis_00A","CONS_DS",2044,2159.68
"Atlantis_00A","CONS_DS",2045,2199.52
"Atlantis_00A","CONS_DS",2046,2240.96
"Atlantis_00A","CONS_DS",2047,2284.8
"Atlantis_00A","CONS_DS",2048,2331.2
"Atlantis_00A","CONS_DS",2049,2375.2
"Atlantis_00A","CONS_DS",2050,2419.2
"Atlantis_00A","CONS_DS",2051,2463.2
"Atlantis_00A","CONS_DS",2052,2506.56
"Atlantis_00A","CONS_DS",2053,2549.28
"Atlantis_00A","CONS_DS",2054,2591.52
"Atlantis_00A","CONS_DS",2055,2632.96
"Atlantis_00A","CONS_HF",2014,2117.6
"Atlantis_00A","CONS_HF",2015,2195.52
"Atlantis_00A","CONS_HF",2016,2292.96
"Atlantis_00A","CONS_HF",2017,2418.56
"Atlantis_00A","CONS_HF",2018,2493.76
"Atlantis_00A","CONS_HF",2019,2543.84
"Atlantis_00A","CONS_HF",2020,2116.96
"Atlantis_00A","CONS_HF",2021,2620.96
"Atlantis_00A","CONS_HF",2022,2822.24
"Atlantis_00A","CONS_HF",2023,2850.4
"Atlantis_00A","CONS_HF",2024,2878.72
"Atlantis_00A","CONS_HF",2025,2907.84
"Atlantis_00A","CONS_HF",2026,2937.28
"Atlantis_00A","CONS_HF",2027,2967.36
"Atlantis_00A","CONS_HF",2028,2997.92
"Atlantis_00A","CONS_HF",2029,3029.12
"Atlantis_00A","CONS_HF",2030,3046.88
"Atlantis_00A","CONS_HF",2031,3086.08
"Atlantis_00A","CONS_HF",2032,3126.24
"Atlantis_00A","CONS_HF",2033,3167.04
"Atlantis_00A","CONS_HF",2034,3208.64
"Atlantis_00A","CONS_HF",2035,3243.36
"Atlantis_00A","CONS_HF",2036,3272.32
"Atlantis_00A","CONS_HF",2037,3301.92
"Atlantis_00A","CONS_HF",2038,3331.68
"Atlantis_00A","CONS_HF",2039,3362.08
"Atlantis_00A","CONS_HF",2040,3388.8
"Atlantis_00A","CONS_HF",2041,3398.4
"Atlantis_00A","CONS_HF",2042,3408.32
"Atlantis_00A","CONS_HF",2043,3417.92
"Atlantis_00A","CONS_HF",2044,3428
"Atlantis_00A","CONS_HF",2045,3437.92
"Atlantis_00A","CONS_HF",2046,3447.68
"Atlantis_00A","CONS_HF",2047,3457.6
"Atlantis_00A","CONS_HF",2048,3467.68
"Atlantis_00A","CONS_HF",2049,3477.76
"Atlantis_00A","CONS_HF",2050,3485.76
"Atlantis_00A","CONS_HF",2051,3495.84
"Atlantis_00A","CONS_HF",2052,3506.08
"Atlantis_00A","CONS_HF",2053,3516.32
"Atlantis_00A","CONS_HF",2054,3526.72
"Atlantis_00A","CONS_HF",2055,3537.12
"Atlantis_00A","CONS_NG",2014,431.556345
"Atlantis_00A","CONS_NG",2015,441.09936
"Atlantis_00A","CONS_NG",2016,452.197533
"Atlantis_00A","CONS_NG",2017,459.266433
"Atlantis_00A","CONS_NG",2018,471.637008
"Atlantis_00A","CONS_NG",2019,474.605946
"Atlantis_00A","CONS_NG",2020,386.739519
"Atlantis_00A","CONS_NG",2021,461.669859
"Atlantis_00A","CONS_NG",2022,490.228215
"Atlantis_00A","CONS_NG",2023,500.336742
"Atlantis_00A","CONS_NG",2024,510.728025
"Atlantis_00A","CONS_NG",2025,521.260686
"Atlantis_00A","CONS_NG",2026,531.934725
"Atlantis_00A","CONS_NG",2027,542.89152
"Atlantis_00A","CONS_NG",2028,554.20176
"Atlantis_00A","CONS_NG",2029,565.582689
"Atlantis_00A","CONS_NG",2030,571.237809
"Atlantis_00A","CONS_NG",2031,581.558403
"Atlantis_00A","CONS_NG",2032,592.091064
"Atlantis_00A","CONS_NG",2033,603.047859
"Atlantis_00A","CONS_NG",2034,614.075343
"Atlantis_00A","CONS_NG",2035,623.194224
"Atlantis_00A","CONS_NG",2036,634.504464
"Atlantis_00A","CONS_NG",2037,646.168149
"Atlantis_00A","CONS_NG",2038,657.902523
"Atlantis_00A","CONS_NG",2039,670.061031
"Atlantis_00A","CONS_NG",2040,679.250601
"Atlantis_00A","CONS_NG",2041,685.329855
"Atlantis_00A","CONS_NG",2042,691.550487
"Atlantis_00A","CONS_NG",2043,697.983186
"Atlantis_00A","CONS_NG",2044,704.274507
"Atlantis_00A","CONS_NG",2045,710.707206
"Atlantis_00A","CONS_NG",2046,717.210594
"Atlantis_00A","CONS_NG",2047,723.713982
"Atlantis_00A","CONS_NG",2048,730.429437
"Atlantis_00A","CONS_NG",2049,737.074203
"Atlantis_00A","CONS_NG",2050,741.032787
"Atlantis_00A","CONS_NG",2051,747.818931
"Atlantis_00A","CONS_NG",2052,754.675764
"Atlantis_00A","CONS_NG",2053,761.603286
"Atlantis_00A","CONS_NG",2054,768.601497
"Atlantis_00A","CONS_NG",2055,775.741086
"Atlantis_00A","DIST_IND",2014,0.000750310045473336
"Atlantis_00A","DIST_IND",2015,0.000785448532451426
"Atlantis_00A","DIST_IND",2016,0.000793716411740389
"Atlantis_00A","DIST_IND",2017,0.00080095080611823
"Atlantis_00A","DIST_IND",2018,0.000769946258784622
"Atlantis_00A","DIST_IND",2019,0.00080095080611823
"Atlantis_00A","DIST_IND",2020,0.000690367920628359
"Atlantis_00A","DIST_IND",2021,0.000817486564696156
"Atlantis_00A","DIST_IND",2022,0.000835055808185201
"Atlantis_00A","DIST_IND",2023,0.000852625051674246
"Atlantis_00A","DIST_IND",2024,0.00086916081025217
"Atlantis_00A","DIST_IND",2025,0.000886730053741215
"Atlantis_00A","DIST_IND",2026,0.00090429929723026
"Atlantis_00A","DIST_IND",2027,0.000922902025630426
"Atlantis_00A","DIST_IND",2028,0.000941504754030591
"Atlantis_00A","DIST_IND",2029,0.000960107482430756
"Atlantis_00A","DIST_IND",2030,0.000969408846630839
"Atlantis_00A","DIST_IND",2031,0.000982844150475403
"Atlantis_00A","DIST_IND",2032,0.000997312939231087
"Atlantis_00A","DIST_IND",2033,0.00101178172798677
"Atlantis_00A","DIST_IND",2034,0.00102521703183134
"Atlantis_00A","DIST_IND",2035,0.00103761885076478
"Atlantis_00A","DIST_IND",2036,0.00137350144687888
"Atlantis_00A","DIST_IND",2037,0.00139623811492352
"Atlantis_00A","DIST_IND",2038,0.00141897478296817
"Atlantis_00A","DIST_IND",2039,0.00144274493592394
"Atlantis_00A","DIST_IND",2040,0.00111099627945432
"Atlantis_00A","DIST_IND",2041,0.00112443158329888
"Atlantis_00A","DIST_IND",2042,0.00113890037205457
"Atlantis_00A","DIST_IND",2043,0.00115233567589913
"Atlantis_00A","DIST_IND",2044,0.00116680446465482
"Atlantis_00A","DIST_IND",2045,0.0011812732534105
"Atlantis_00A","DIST_IND",2046,0.00119574204216618
"Atlantis_00A","DIST_IND",2047,0.00121021083092187
"Atlantis_00A","DIST_IND",2048,0.00122467961967755
"Atlantis_00A","DIST_IND",2049,0.00124018189334436
"Atlantis_00A","DIST_IND",2050,0.0012474162877222
"Atlantis_00A","DIST_IND",2051,0.001262918561389
"Atlantis_00A","DIST_IND",2052,0.00127842083505581
"Atlantis_00A","DIST_IND",2053,0.00129392310872261
"Atlantis_00A","DIST_IND",2054,0.00130942538238942
"Atlantis_00A","DIST_IND",2055,0.00132596114096734
"Atlantis_00A","DIST_OTH",2014,0.000305911533691608
"Atlantis_00A","DIST_OTH",2015,0.000325547747002894
"Atlantis_00A","DIST_OTH",2016,0.000335882596114097
"Atlantis_00A","DIST_OTH",2017,0.000335882596114097
"Atlantis_00A","DIST_OTH",2018,0.000320380322447292
"Atlantis_00A","DIST_OTH",2019,0.000317279867713931
"Atlantis_00A","DIST_OTH",2020,0.000294543199669285
"Atlantis_00A","DIST_OTH",2021,0.000393757751136833
"Atlantis_00A","DIST_OTH",2022,0.000398925175692435
"Atlantis_00A","DIST_OTH",2023,0.000404092600248036
"Atlantis_00A","DIST_OTH",2024,0.000409260024803638
"Atlantis_00A","DIST_OTH",2025,0.000414427449359239
"Atlantis_00A","DIST_OTH",2026,0.000419594873914841
"Atlantis_00A","DIST_OTH",2027,0.000425795783381563
"Atlantis_00A","DIST_OTH",2028,0.000428896238114924
"Atlantis_00A","DIST_OTH",2029,0.000436130632492765
"Atlantis_00A","DIST_OTH",2030,0.000443365026870608
"Atlantis_00A","DIST_OTH",2031,0.00045059942124845
"Atlantis_00A","DIST_OTH",2032,0.000457833815626292
"Atlantis_00A","DIST_OTH",2033,0.000464034725093014
"Atlantis_00A","DIST_OTH",2034,0.000469202149648615
"Atlantis_00A","DIST_OTH",2035,0.000474369574204217
"Atlantis_00A","DIST_OTH",2036,0.000479536998759818
"Atlantis_00A","DIST_OTH",2037,0.00048573790822654
"Atlantis_00A","DIST_OTH",2038,0.000489871847871021
"Atlantis_00A","DIST_OTH",2039,0.000491938817693262
"Atlantis_00A","DIST_OTH",2040,0.000494005787515502
"Atlantis_00A","DIST_OTH",2041,0.000496072757337743
"Atlantis_00A","DIST_OTH",2042,0.000497106242248863
"Atlantis_00A","DIST_OTH",2043,0.000499173212071104
"Atlantis_00A","DIST_OTH",2044,0.000501240181893344
"Atlantis_00A","DIST_OTH",2045,0.000503307151715585
"Atlantis_00A","DIST_OTH",2046,0.000505374121537826
"Atlantis_00A","DIST_OTH",2047,0.000506407606448946
"Atlantis_00A","DIST_OTH",2048,0.000508474576271186
"Atlantis_00A","DIST_OTH",2049,0.000510541546093427
"Atlantis_00A","DIST_OTH",2050,0.000512608515915668
"Atlantis_00A","DIST_OTH",2051,0.000513642000826788
"Atlantis_00A","DIST_OTH",2052,0.000515708970649029
"Atlantis_00A","DIST_OTH",2053,0.000517775940471269
"Atlantis_00A","DIST_OTH",2054,0.00051984291029351
"Atlantis_00A","DIST_OTH",2055,0.00052190988011575
"Atlantis_00A","DIST_RES",2014,0.0010438197602315
"Atlantis_00A","DIST_RES",2015,0.00111306324927656
"Atlantis_00A","DIST_RES",2016,0.00117507234394378
"Atlantis_00A","DIST_RES",2017,0.00119987598181067
"Atlantis_00A","DIST_RES",2018,0.00123501446878876
"Atlantis_00A","DIST_RES",2019,0.00126601901612236
"Atlantis_00A","DIST_RES",2020,0.00135593220338983
"Atlantis_00A","DIST_RES",2021,0.00135386523356759
"Atlantis_00A","DIST_RES",2022,0.00140450599421248
"Atlantis_00A","DIST_RES",2023,0.00143861099627945
"Atlantis_00A","DIST_RES",2024,0.00147271599834642
"Atlantis_00A","DIST_RES",2025,0.00150785448532451
"Atlantis_00A","DIST_RES",2026,0.00154402645721372
"Atlantis_00A","DIST_RES",2027,0.00158123191401406
"Atlantis_00A","DIST_RES",2028,0.00161947085572551
"Atlantis_00A","DIST_RES",2029,0.00165874328234808
"Atlantis_00A","DIST_RES",2030,0.00167424555601488
"Atlantis_00A","DIST_RES",2031,0.00171765192228193
"Atlantis_00A","DIST_RES",2032,0.00176312525837123
"Atlantis_00A","DIST_RES",2033,0.00180859859446052
"Atlantis_00A","DIST_RES",2034,0.00185613890037205
"Atlantis_00A","DIST_RES",2035,0.00189231087226127
"Atlantis_00A","DIST_RES",2036,0.00194708557255064
"Atlantis_00A","DIST_RES",2037,0.00200289375775114
"Atlantis_00A","DIST_RES",2038,0.00205973542786275
"Atlantis_00A","DIST_RES",2039,0.00211864406779661
"Atlantis_00A","DIST_RES",2040,0.00216308391897478
"Atlantis_00A","DIST_RES",2041,0.002225093013642
"Atlantis_00A","DIST_RES",2042,0.00228813559322034
"Atlantis_00A","DIST_RES",2043,0.00235324514262092
"Atlantis_00A","DIST_RES",2044,0.00242042166184374
"Atlantis_00A","DIST_RES",2045,0.0024896651508888
"Atlantis_00A","DIST_RES",2046,0.0025609756097561
"Atlantis_00A","DIST_RES",2047,0.00263331955353452
"Atlantis_00A","DIST_RES",2048,0.0027087639520463
"Atlantis_00A","DIST_RES",2049,0.00278627532038032
"Atlantis_00A","DIST_RES",2050,0.0027800744109136
"Atlantis_00A","DIST_RES",2051,0.00285965274906986
"Atlantis_00A","DIST_RES",2052,0.00294129805704837
"Atlantis_00A","DIST_RES",2053,0.00302501033484911
"Atlantis_00A","DIST_RES",2054,0.0031107895824721
"Atlantis_00A","DIST_RES",2055,0.00319966928482844
"Atlantis_00A","DIST_SER",2014,0.000650062009094667
"Atlantis_00A","DIST_SER",2015,0.000702769739561802
"Atlantis_00A","DIST_SER",2016,0.000744109136006614
"Atlantis_00A","DIST_SER",2017,0.000774080198429103
"Atlantis_00A","DIST_SER",2018,0.000810252170318313
"Atlantis_00A","DIST_SER",2019,0.00083402232327408
"Atlantis_00A","DIST_SER",2020,0.00076477883422902
"Atlantis_00A","DIST_SER",2021,0.000889830508474576
"Atlantis_00A","DIST_SER",2022,0.000913600661430343
"Atlantis_00A","DIST_SER",2023,0.00093840429929723
"Atlantis_00A","DIST_SER",2024,0.000964241422075238
"Atlantis_00A","DIST_SER",2025,0.000990078544853245
"Atlantis_00A","DIST_SER",2026,0.00101591566763125
"Atlantis_00A","DIST_SER",2027,0.0010438197602315
"Atlantis_00A","DIST_SER",2028,0.00105312112443158
"Atlantis_00A","DIST_SER",2029,0.00107275733774287
"Atlantis_00A","DIST_SER",2030,0.00109239355105415
"Atlantis_00A","DIST_SER",2031,0.00111306324927656
"Atlantis_00A","DIST_SER",2032,0.00113373294749897
"Atlantis_00A","DIST_SER",2033,0.00115130219098801
"Atlantis_00A","DIST_SER",2034,0.00116680446465482
"Atlantis_00A","DIST_SER",2035,0.00118230673832162
"Atlantis_00A","DIST_SER",2036,0.00119884249689955
"Atlantis_00A","DIST_SER",2037,0.00121537825547747
"Atlantis_00A","DIST_SER",2038,0.00122881355932203
"Atlantis_00A","DIST_SER",2039,0.00124018189334436
"Atlantis_00A","DIST_SER",2040,0.00125155022736668
"Atlantis_00A","DIST_SER",2041,0.001262918561389
"Atlantis_00A","DIST_SER",2042,0.00127532038032245
"Atlantis_00A","DIST_SER",2043,0.00128668871434477
"Atlantis_00A","DIST_SER",2044,0.00129805704836709
"Atlantis_00A","DIST_SER",2045,0.00131045886730054
"Atlantis_00A","DIST_SER",2046,0.00132182720132286
"Atlantis_00A","DIST_SER",2047,0.0013342290202563
"Atlantis_00A","DIST_SER",2048,0.00134146341463415
"Atlantis_00A","DIST_SER",2049,0.00135386523356759
"Atlantis_00A","DIST_SER",2050,0.00136626705250103
"Atlantis_00A","DIST_SER",2051,0.00137866887143448
"Atlantis_00A","DIST_SER",2052,0.00139107069036792
"Atlantis_00A","DIST_SER",2053,0.00140450599421248
"Atlantis_00A","DIST_SER",2054,0.00141690781314593
"Atlantis_00A","DIST_SER",2055,0.00143034311699049
"Atlantis_00A","DIST_TRA",2014,1.0334849111203e-06
"Atlantis_00A","DIST_TRA",2015,3.10045473336089e-06
"Atlantis_00A","DIST_TRA",2016,3.10045473336089e-06
"Atlantis_00A","DIST_TRA",2017,5.16742455560149e-06
"Atlantis_00A","DIST_TRA",2018,8.26787928896238e-06
"Atlantis_00A","DIST_TRA",2019,1.13683340223233e-05
"Atlantis_00A","DIST_TRA",2020,7.23439437784208e-06
"Atlantis_00A","DIST_TRA",2021,9.30136420008268e-06
"Atlantis_00A","DIST_TRA",2022,9.30136420008268e-06
"Atlantis_00A","DIST_TRA",2023,1.13683340223233e-05
"Atlantis_00A","DIST_TRA",2024,1.44687887556842e-05
"Atlantis_00A","DIST_TRA",2025,1.75692434890451e-05
"Atlantis_00A","DIST_TRA",2026,1.96362133112857e-05
"Atlantis_00A","DIST_TRA",2027,2.27366680446466e-05
"Atlantis_00A","DIST_TRA",2028,2.48036378668871e-05
"Atlantis_00A","DIST_TRA",2029,2.7904092600248e-05
"Atlantis_00A","DIST_TRA",2030,2.99710624224886e-05
"Atlantis_00A","DIST_TRA",2031,3.72054568003307e-05
"Atlantis_00A","DIST_TRA",2032,4.44398511781728e-05
"Atlantis_00A","DIST_TRA",2033,5.37412153782555e-05
"Atlantis_00A","DIST_TRA",2034,6.51095494005787e-05
"Atlantis_00A","DIST_TRA",2035,6.20090946672179e-05
